Year,Miles_Equator,Political Stability,School Enrollment Female,Life expency,GDP_Per_Capita,No_religion,Roman_Catholic,Protestant,Orthodox,Jew,Muslim,Hindu,Buddhist,Other Christian,Other,DK,NA,,,
Algeria,2000,1934.338134,-1.432577372,66.6558304,70.64,10022.96478,0,0,0,0,0,100,0,0,0,0,0,0,,
Argentina,2000,-2650.710693,0.095823877,98.2887115,73.576,11029.15507,13,78.4,5.4,0.1,0.7,0,0,0.1,0,2.3,0,0.1,,
Bangladesh,2000,1634.264586,-0.726261258,50.5111504,65.447,1524.346032,0.1,0.1,0.1,0.1,0.1,91.9,7.1,0.5,0,0,0,0,,
Canada,2000,3872.995254,1.167526841,102.932777,79.1365854,32349.94366,30.8,37.3,22.5,0.9,0.4,1.2,0.4,0.4,2.7,1.6,1.7,0,,
Chile,2000,-2461.585143,0.485464156,86.4905319,76.366,10963.79063,33.7,53.8,9.5,0,0.2,0,0.1,0,0,2.2,0,0.5,,
India,2000,1420.964196,-1.00120759,37.3238297,62.505,2472.993673,6.6,2.9,0,0,0.2,10.8,72.2,1.4,0,4.3,0,1.4,,
Indonesia,2000,-54.459975,-1.995200634,54.1741486,65.772,5467.231552,0,6.5,0,0,0,92.9,0,0,0,0.5,0,0.1,,
Iran,2000,2237.525652,-0.727548361,74.5149765,70.176,13316.53508,1.1,0,0,0,0,97,0,0,0.9,0.7,0.3,0,,
Iraq,2000,2292.400179,-1.73264277,28.7076302,69.082,6342.118087,0,0.2,0,0.1,0,61,0,0,0.2,37.8,0,0.6,,
Israel,2000,2142.177519,-1.041991234,104.210419,78.9536585,23845.31292,0,0,0,0,85.3,9.5,0,0,3.3,1.8,0,0.1,,
Jordan,2000,2110.376316,0.000209701,84.1426315,71.73,6866.880054,0,0,0,0,0,95.2,0,0,4.7,0.1,0,0,,
,2000,2477.635233,0.398045033,96.2802582,75.9097561,22095.87083,36.7,13.8,23.7,1.8,0.1,0.2,0,20.8,0,2.7,0,0.3,,
