Country,Year,Miles_Equator,Political_Stability,School_Enrollment_F,Life_Expency,GDP_Per_Capita,None at all,2,3,4,5,6,7,8,9,A great deal,Don't know,No answer,Base mean,Freedom_Mean,Std Dev.,,Freedom
Argentina,2005,-2650.71069,-0.041774943,96.8009872,74.451,17420.68009,30.7,9.6,19,13.7,8,8.8,2,0.9,0.2,1.6,4.7,0.8,947,7.89,2.05,0.81,0.842872008
Brazil,2005,-982.215276,-0.263379753,106.214539,71.896,13325.47284,31.3,11,18,13.5,7.8,11.3,2.9,1.9,0.6,1.8,0.4,0.3,1490,7.74,2.19,0.816,0.816816817
Bulgaria,2005,2948.637927,0.14727059,87.3167419,72.5609756,14335.7146,5.5,5.9,14,14.7,13.4,18.2,10.6,7.3,5.1,3.8,1.4,0.1,986,5.81,2.28,0.535,0.542046606
Canada,2005,3872.995254,0.82872504,100.234383,80.1926829,40376.30688,16.7,15,28,15.5,10.1,9.9,1.8,0.8,0.6,0.7,0.9,0,2144,7.63,1.79,0.853,0.86074672
Chile,2005,-2461.58514,0.842383623,94.1103363,77.63,16504.09786,21.5,8.5,16,14.1,12.9,11,7.5,2.2,1.6,0.9,3.1,0.4,965,7.18,2.22,0.73,0.750256937
Colombia,2005,315.389892,-2.057942867,87.2284622,74.265,10188.96021,33.2,18,19,10.1,5.1,5.4,2.7,1.9,1.2,2.4,0.8,0,3002,8.04,2.2,0.854,0.860887097
Cyprus,2005,2423.722497,0.517519236,97.4788895,78.63,34830.23438,20.9,14,22,16.2,9,9.7,3.9,2.4,0.7,1.7,0,0,1050,7.49,2.1,0.821,0.821
Ethiopia,2005,631.005,-1.690383315,18.8290405,56.223,871.5463026,6.3,5.7,13,20.1,19.5,16.5,6.1,6.7,3.1,2.3,0,0.3,1495,6.17,2.08,0.646,0.644067797
Finland,2005,4272.76359,1.594946861,114.341919,78.8170732,40083.69727,9.1,19,29,19.9,9.4,7.3,2.8,2,0.8,0.6,0,0,1014,7.46,1.74,0.864,0.864
France,2005,3189.707022,0.399723917,106.99189,80.1634146,35095.26568,9.9,9,18,19.1,12.6,20,5.1,3.1,1.3,1.8,0.1,0.1,999,6.68,2.05,0.686,0.686
