Country,Year,Miles_Equator,Political Stability,School Enrollment Female,Life Expency,GDP_Per_Capita,More_than_once_a_week,Once_a_week,Once_a_month,Only_on_special_holy_days,Once_a_year,Less_often,Never_practically_never,Don't know,No answer,other missing,Religousity,Religousity2,Religousity_3,Religousity_4
Albania,2000,2839.579908,-0.539989591,69.8489304,73.955,5000.05,3.8,16.5,9.1,32.4,5,9.9,23.3,0,0,0,14.28571429,9.8,0.294,441.2
Algeria,2000,1934.338134,-1.432577372,66.6558304,70.64,10022.96,25,20.7,2.7,8.6,1.4,11.9,26.3,3.5,0,0,13.8,16.13333333,0.484,399.4
Argentina,2000,-2650.710693,0.095823877,98.2887115,73.576,11029.16,8,16.5,18.3,8.6,8.7,11.8,28.1,0,0,0,14.28571429,14.26666667,0.428,441.3
Bangladesh,2000,1634.264586,-0.726261258,50.5111504,65.447,1524.35,37,19.1,11.1,4.9,5.9,18.3,3.7,0,0,0,14.28571429,22.4,0.672,293.3
Canada,2000,3872.995254,1.167526841,102.932777,79.1365854,32349.94,6.5,18.5,10.8,16,10.5,8.4,29,0.3,0,0,14.24285714,11.93333333,0.358,448.2
Chile,2000,-2461.585143,0.485464156,86.4905319,76.366,10963.79,11.1,19.4,14.2,6.8,10.6,14.3,22.1,1.6,0,0,14.07142857,14.9,0.447,426
India,2000,1420.964196,-1.00120759,37.3238297,62.505,2472.99,15.3,16.7,19.2,24.8,9,11.7,3.1,0,0,0,14.25714286,17.06666667,0.512,342.4
Indonesia,2000,-54.459975,-1.995200634,54.1741486,65.772,5467.23,30.9,33.8,10.8,14.4,0.5,8.8,0.8,0,0,0,14.28571429,25.16666667,0.755,249.4
Iran,2000,2237.525652,-0.727548361,74.5149765,70.176,13316.54,11.6,14.8,18.4,40.1,3,4.5,3.9,0,3.6,0,13.75714286,14.93333333,0.448,358.5
Iraq,2000,2292.400179,-1.73264277,28.7076302,69.082,6342.12,18,14.5,3.1,12.1,0.9,6,44.3,0.6,0.5,0,14.12857143,11.86666667,0.356,464.6
Jordan,2000,2110.376316,0.000209701,84.1426315,71.73,6866.88,28.4,15.7,2.6,7,3.1,1.2,41.9,0,0,0,14.27142857,15.56666667,0.467,411.6
Korea,2000,2477.635233,0.398045033,96.2802582,75.9097561,22095.87,13.1,17.1,8,11.2,6.9,27.6,16,0.2,0,0,14.27142857,12.73333333,0.382,429.8
Mexico,2000,1630.780569,-0.200209871,72.3933563,74.34,11488.3,13.6,42.4,18.6,9.5,4.8,4.7,6.1,0,0.4,0,14.24285714,24.86666667,0.746,290.7
Morocco,2000,2193.627438,-0.065564901,34.3061981,68.684,4282.94,36.3,10.9,2.7,5.9,1.2,7.4,35.3,0.1,0,0,14.24285714,16.63333333,0.499,388.1
Nigeria,2000,626.657931,-1.455326319,22.4468803,46.267,2965.43,63.7,28.5,3,0.7,0.4,3,0.6,0,0,0,14.27142857,31.73333333,0.952,156.7
Peru,2000,-634.107723,-0.987529457,78.5265121,71.111,5699.48,16.5,30.4,24.2,11,6.5,6.1,4.9,0.3,0,0,14.22857143,23.7,0.711,299.7
Serbia,2000,3037.139949,-1.643598437,92.1466675,71.5829268,7645.79,3.2,6.3,10.2,44.4,11.6,10.4,13.8,0.1,0,0,14.27142857,6.566666667,0.197,441.8
South Africa,2000,-2108.604258,-0.227864951,85.4968719,56.048,9486.55,19.4,32.4,16.6,6,1.9,13.4,10.3,0,0,0,14.28571429,22.8,0.684,320
Zimbabwe,2000,-1312.065222,-1.318817854,42.2582397,44.649,1828.52,35.8,37.9,7.4,2.7,0.6,4.3,11.3,0,0,0,14.28571429,27.03333333,0.811,252.5
Spain,2000,2791.993023,0.459468246,113.970528,78.9658537,25046.11,7.1,17.7,11,14.2,4.6,11.7,32.8,0.9,0,0,14.15714286,11.93333333,0.358,462.3
Sweden,2000,4148.843109,1.391772032,170.476379,79.6439024,31814.86,0.5,3.3,5.6,10.6,21.3,13.1,45.5,0.2,0,0,14.27142857,3.133333333,0.094,571.5
North Macedonia,2000,2870.995815,-0.614017069,79.9734879,72.9463415,6595.45,10.2,11.3,11.3,42,5.1,13,7,0,0,0,14.27142857,10.93333333,0.328,387.2
Egypt,2000,1850.618157,0.049797524,79.1512527,68.602,6336.85,22.4,19.8,2.5,24.9,5.2,0.1,25.1,0,0,0,14.28571429,14.9,0.447,371.4
Albania,2001,2839.579908,-0.297719181,71.5549927,74.288,5427.73,3.8,16.5,9.1,32.4,5,9.9,23.3,0,0,0,14.28571429,9.8,0.294,441.2
Algeria,2001,1934.338134,-1.634565115,70.9762421,71.116,10594.05,25,20.7,2.7,8.6,1.4,11.9,26.3,3.5,0,0,13.8,16.13333333,0.484,399.4
Argentina,2001,-2650.710693,-0.776545405,99.3284302,73.755,12218.21,8,16.5,18.3,8.6,8.7,11.8,28.1,0,0,0,14.28571429,14.26666667,0.428,441.3
Bangladesh,2001,1634.264586,-1.032590389,53.0923004,65.956,1620.89,37,19.1,11.1,4.9,5.9,18.3,3.7,0,0,0,14.28571429,22.4,0.672,293.3
China,2001,2474.45454,-0.327627182,57.9949417,71.732,4427.13,0.7,1.5,0.9,5.4,0.8,1,2.6,0,0.8,86.3,1.842857143,1.033333333,0.031,926.4
India,2001,1420.964196,-1.210664988,37.7764702,62.907,2696.66,15.3,16.7,19.2,24.8,9,11.7,3.1,0,0,0,14.25714286,17.06666667,0.512,342.4
Indonesia,2001,-54.459975,-1.583244205,55.0186806,66.037,5817.83,30.9,33.8,10.8,14.4,0.5,8.8,0.8,0,0,0,14.28571429,25.16666667,0.755,249.4
Iran,2001,2237.525652,-0.773440599,74.0755997,70.553,14095.61,11.6,14.8,18.4,40.1,3,4.5,3.9,0,3.6,0,13.75714286,14.93333333,0.448,358.5
Iraq,2001,2292.400179,-1.601286769,28.4829597,68.983,9734.7,18,14.5,3.1,12.1,0.9,6,44.3,0.6,0.5,0,14.12857143,11.86666667,0.356,464.6
Korea,2001,2477.635233,0.241773605,96.4077377,76.4121951,23773.83,13.1,17.1,8,11.2,6.9,27.6,16,0.2,0,0,14.27142857,12.73333333,0.382,429.8
Mexico,2001,1630.780569,-0.058308262,74.4729996,74.658,12090.99,13.6,42.4,18.6,9.5,4.8,4.7,6.1,0,0.4,0,14.24285714,24.86666667,0.746,290.7
Morocco,2001,2193.627438,-0.261418521,36.0968513,69.193,4554.85,36.3,10.9,2.7,5.9,1.2,7.4,35.3,0.1,0,0,14.24285714,16.63333333,0.499,388.1
Nigeria,2001,626.657931,-1.626329303,24.5261993,46.51,3242.65,63.7,28.5,3,0.7,0.4,3,0.6,0,0,0,14.27142857,31.73333333,0.952,156.7
Peru,2001,-634.107723,-0.969909847,81.4958725,71.505,6086.62,16.5,30.4,24.2,11,6.5,6.1,4.9,0.3,0,0,14.22857143,23.7,0.711,299.7
Philippines,2001,888.700749,-0.858753324,78.4151764,68.835,4116.94,13.2,45.2,21,5,4.4,10.2,0.9,0,0,0,14.27142857,26.46666667,0.794,276.1
Serbia,2001,3037.139949,-0.512546003,90.5736694,72.2341463,8487.6,3.2,6.3,10.2,44.4,11.6,10.4,13.8,0.1,0,0,14.27142857,6.566666667,0.197,441.8
South Africa,2001,-2108.604258,-0.254789859,85.8254166,55.089,10061.6,19.4,32.4,16.6,6,1.9,13.4,10.3,0,0,0,14.28571429,22.8,0.684,320
Zimbabwe,2001,-1312.065222,-1.515870214,43.1062508,44.01,1763.02,35.8,37.9,7.4,2.7,0.6,4.3,11.3,0,0,0,14.28571429,27.03333333,0.811,252.5
Spain,2001,2791.993023,0.438226074,115.32386,79.3682927,26143.63,7.1,17.7,11,14.2,4.6,11.7,32.8,0.9,0,0,14.15714286,11.93333333,0.358,462.3
Sweden,2001,4148.843109,1.475257516,165.334915,79.795122,33858.61,0.5,3.3,5.6,10.6,21.3,13.1,45.5,0.2,0,0,14.27142857,3.133333333,0.094,571.5
North Macedonia,2001,2870.995815,-1.038219452,80.2750015,73.4365854,7172,10.2,11.3,11.3,42,5.1,13,7,0,0,0,14.27142857,10.93333333,0.328,387.2
Egypt,2001,1850.618157,-0.414172113,80.7866821,68.796,6650.32,22.4,19.8,2.5,24.9,5.2,0.1,25.1,0,0,0,14.28571429,14.9,0.447,371.4
Algeria,2002,1934.338134,-1.754409075,74.2163086,71.605,10594.05,25,20.7,2.7,8.6,1.4,11.9,26.3,3.5,0,0,13.8,16.13333333,0.484,399.4
Argentina,2002,-2650.710693,-0.359838128,98.3592911,73.932,12218.21,8,16.5,18.3,8.6,8.7,11.8,28.1,0,0,0,14.28571429,14.26666667,0.428,441.3
Bangladesh,2002,1634.264586,-1.115581155,54.7457809,66.43,1620.89,37,19.1,11.1,4.9,5.9,18.3,3.7,0,0,0,14.28571429,22.4,0.672,293.3
Chile,2002,-2461.585143,0.761611938,89.7292175,76.894,11794.63,11.1,19.4,14.2,6.8,10.6,14.3,22.1,1.6,0,0,14.07142857,14.9,0.447,426
India,2002,1420.964196,-1.50999701,40.2797508,63.304,2696.66,15.3,16.7,19.2,24.8,9,11.7,3.1,0,0,0,14.25714286,17.06666667,0.512,342.4
Indonesia,2002,-54.459975,-2.09539485,56.8001213,66.321,5817.83,30.9,33.8,10.8,14.4,0.5,8.8,0.8,0,0,0,14.28571429,25.16666667,0.755,249.4
Iran,2002,2237.525652,-0.779733181,75.0605011,70.921,14095.61,11.6,14.8,18.4,40.1,3,4.5,3.9,0,3.6,0,13.75714286,14.93333333,0.448,358.5
Jordan,2002,2110.376316,-0.073701382,86.5586929,72.083,7454.74,28.4,15.7,2.6,7,3.1,1.2,41.9,0,0,0,14.27142857,15.56666667,0.467,411.6
Korea,2002,2477.635233,0.248543099,96.756752,76.7658537,23773.83,13.1,17.1,8,11.2,6.9,27.6,16,0.2,0,0,14.27142857,12.73333333,0.382,429.8
Mexico,2002,1630.780569,-0.116878085,77.441803,74.922,12090.99,13.6,42.4,18.6,9.5,4.8,4.7,6.1,0,0.4,0,14.24285714,24.86666667,0.746,290.7
Morocco,2002,2193.627438,-0.407007366,38.3787994,69.769,4554.85,36.3,10.9,2.7,5.9,1.2,7.4,35.3,0.1,0,0,14.24285714,16.63333333,0.499,388.1
Nigeria,2002,626.657931,-1.635588288,25.55303,46.835,3242.65,63.7,28.5,3,0.7,0.4,3,0.6,0,0,0,14.27142857,31.73333333,0.952,156.7
Peru,2002,-634.107723,-1.162101626,82.8570404,71.882,6086.62,16.5,30.4,24.2,11,6.5,6.1,4.9,0.3,0,0,14.22857143,23.7,0.711,299.7
Philippines,2002,888.700749,-1.559809685,83.2882919,68.88,4116.94,13.2,45.2,21,5,4.4,10.2,0.9,0,0,0,14.27142857,26.46666667,0.794,276.1
Serbia,2002,3037.139949,-0.582542062,89.9539871,72.2853659,8487.6,3.2,6.3,10.2,44.4,11.6,10.4,13.8,0.1,0,0,14.27142857,6.566666667,0.197,441.8
South Africa,2002,-2108.604258,-0.312842578,85.8960266,54.31,10061.6,19.4,32.4,16.6,6,1.9,13.4,10.3,0,0,0,14.28571429,22.8,0.684,320
Zimbabwe,2002,-1312.065222,-1.087580562,40.7238197,43.523,1763.02,35.8,37.9,7.4,2.7,0.6,4.3,11.3,0,0,0,14.28571429,27.03333333,0.811,252.5
Spain,2002,2791.993023,-0.047485888,115.791779,79.5682927,26143.63,7.1,17.7,11,14.2,4.6,11.7,32.8,0.9,0,0,14.15714286,11.93333333,0.358,462.3
Sweden,2002,4148.843109,1.341613293,158.256393,79.8463415,33858.61,0.5,3.3,5.6,10.6,21.3,13.1,45.5,0.2,0,0,14.27142857,3.133333333,0.094,571.5
North Macedonia,2002,2870.995815,-0.988194704,79.6776733,73.0390244,7172,10.2,11.3,11.3,42,5.1,13,7,0,0,0,14.27142857,10.93333333,0.328,387.2
Algeria,2003,1934.338134,-1.359188437,77.2717209,72.101,11411.19,25,20.7,2.7,8.6,1.4,11.9,26.3,3.5,0,0,13.8,16.13333333,0.484,399.4
Argentina,2003,-2650.710693,-0.610934913,97.8013,74.107,13575.37,8,16.5,18.3,8.6,8.7,11.8,28.1,0,0,0,14.28571429,14.26666667,0.428,441.3
Bangladesh,2003,1634.264586,-1.360476375,54.4530106,66.886,1754.73,37,19.1,11.1,4.9,5.9,18.3,3.7,0,0,0,14.28571429,22.4,0.672,293.3
Chile,2003,-2461.585143,0.691341698,91.8715897,77.146,12679.23,11.1,19.4,14.2,6.8,10.6,14.3,22.1,1.6,0,0,14.07142857,14.9,0.447,426
China,2003,2474.45454,-0.390680671,60.2562294,72.381,5056.4,0.7,1.5,0.9,5.4,0.8,1,2.6,0,0.8,86.3,1.842857143,1.033333333,0.031,926.4
India,2003,1420.964196,-1.28043294,44.4954796,63.699,2954.55,15.3,16.7,19.2,24.8,9,11.7,3.1,0,0,0,14.25714286,17.06666667,0.512,342.4
Indonesia,2003,-54.459975,-1.908605576,59.7361603,66.631,6257.66,30.9,33.8,10.8,14.4,0.5,8.8,0.8,0,0,0,14.28571429,25.16666667,0.755,249.4
Iran,2003,2237.525652,-0.76182431,74.8995132,71.265,14826.94,11.6,14.8,18.4,40.1,3,4.5,3.9,0,3.6,0,13.75714286,14.93333333,0.448,358.5
Iraq,2003,2292.400179,-3.180351734,35.2408218,68.636,9977.13,18,14.5,3.1,12.1,0.9,6,44.3,0.6,0.5,0,14.12857143,11.86666667,0.356,464.6
Jordan,2003,2110.376316,-0.234758884,86.8946075,72.256,8047.48,28.4,15.7,2.6,7,3.1,1.2,41.9,0,0,0,14.27142857,15.56666667,0.467,411.6
Korea,2003,2477.635233,0.428842574,97.6781311,77.2146341,25186.87,13.1,17.1,8,11.2,6.9,27.6,16,0.2,0,0,14.27142857,12.73333333,0.382,429.8
Mexico,2003,1630.780569,-0.21408245,82.0541229,75.118,12657.64,13.6,42.4,18.6,9.5,4.8,4.7,6.1,0,0.4,0,14.24285714,24.86666667,0.746,290.7
Morocco,2003,2193.627438,-0.312668711,40.8264008,70.399,4795.6,36.3,10.9,2.7,5.9,1.2,7.4,35.3,0.1,0,0,14.24285714,16.63333333,0.499,388.1
Peru,2003,-634.107723,-1.027399659,76.7408295,72.24,6614.11,16.5,30.4,24.2,11,6.5,6.1,4.9,0.3,0,0,14.22857143,23.7,0.711,299.7
Philippines,2003,888.700749,-1.705884457,85.5305634,68.937,4372.5,13.2,45.2,21,5,4.4,10.2,0.9,0,0,0,14.27142857,26.46666667,0.794,276.1
Serbia,2003,3037.139949,-0.507584155,89.9016724,72.4365854,9181.69,3.2,6.3,10.2,44.4,11.6,10.4,13.8,0.1,0,0,14.27142857,6.566666667,0.197,441.8
South Africa,2003,-2108.604258,-0.131729558,86.6321716,53.749,10790.33,19.4,32.4,16.6,6,1.9,13.4,10.3,0,0,0,14.28571429,22.8,0.684,320
Zimbabwe,2003,-1312.065222,-1.204704046,37.435379,43.195,1706.4,35.8,37.9,7.4,2.7,0.6,4.3,11.3,0,0,0,14.28571429,27.03333333,0.811,252.5
Spain,2003,2791.993023,-0.090546302,115.611168,79.6195122,27606.93,7.1,17.7,11,14.2,4.6,11.7,32.8,0.9,0,0,14.15714286,11.93333333,0.358,462.3
Sweden,2003,4148.843109,1.362226844,148.836578,80.095122,34244.47,0.5,3.3,5.6,10.6,21.3,13.1,45.5,0.2,0,0,14.27142857,3.133333333,0.094,571.5
North Macedonia,2003,2870.995815,-0.851008296,80.4192505,73.2414634,7848.88,10.2,11.3,11.3,42,5.1,13,7,0,0,0,14.27142857,10.93333333,0.328,387.2
Egypt,2003,1850.618157,-0.822401702,80.0110092,69.116,7037.34,22.4,19.8,2.5,24.9,5.2,0.1,25.1,0,0,0,14.28571429,14.9,0.447,371.4
Albania,2004,2839.579908,-0.505047977,73.4050064,75.039,6566.57,3.8,16.5,9.1,32.4,5,9.9,23.3,0,0,0,14.28571429,9.8,0.294,441.2
Algeria,2004,1934.338134,-0.91366601,80.9469223,72.594,11788.56,25,20.7,2.7,8.6,1.4,11.9,26.3,3.5,0,0,13.8,16.13333333,0.484,399.4
Argentina,2004,-2650.710693,-0.041774943,98.048317,74.28,14967.63,8,16.5,18.3,8.6,8.7,11.8,28.1,0,0,0,14.28571429,14.26666667,0.428,441.3
Bangladesh,2004,1634.264586,-1.863839388,48.9772186,67.331,1903.74,37,19.1,11.1,4.9,5.9,18.3,3.7,0,0,0,14.28571429,22.4,0.672,293.3
Chile,2004,-2461.585143,0.842383623,93.040329,77.391,15657.48,11.1,19.4,14.2,6.8,10.6,14.3,22.1,1.6,0,0,14.07142857,14.9,0.447,426
India,2004,1420.964196,-1.013880491,46.1336708,64.095,3240.74,15.3,16.7,19.2,24.8,9,11.7,3.1,0,0,0,14.25714286,17.06666667,0.512,342.4
Indonesia,2004,-54.459975,-1.51817596,61.6073608,66.969,6715.71,30.9,33.8,10.8,14.4,0.5,8.8,0.8,0,0,0,14.28571429,25.16666667,0.755,249.4
Iran,2004,2237.525652,-0.782738864,75.9175034,71.592,15868.38,11.6,14.8,18.4,40.1,3,4.5,3.9,0,3.6,0,13.75714286,14.93333333,0.448,358.5
Iraq,2004,2292.400179,-2.688648462,38.2274818,68.437,10657.54,18,14.5,3.1,12.1,0.9,6,44.3,0.6,0.5,0,14.12857143,11.86666667,0.356,464.6
Jordan,2004,2110.376316,-0.132929385,85.8560028,72.427,8629.07,28.4,15.7,2.6,7,3.1,1.2,41.9,0,0,0,14.27142857,15.56666667,0.467,411.6
Korea,2004,2477.635233,0.485128582,98.4367065,77.6658537,26884.27,13.1,17.1,8,11.2,6.9,27.6,16,0.2,0,0,14.27142857,12.73333333,0.382,429.8
Mexico,2004,1630.780569,-0.445820868,83.1022034,75.243,13812.9,13.6,42.4,18.6,9.5,4.8,4.7,6.1,0,0.4,0,14.24285714,24.86666667,0.746,290.7
Morocco,2004,2193.627438,-0.556680739,44.1940498,71.067,5256.1,36.3,10.9,2.7,5.9,1.2,7.4,35.3,0.1,0,0,14.24285714,16.63333333,0.499,388.1
Nigeria,2004,626.657931,-1.666500449,31.0201702,47.72,3694.76,63.7,28.5,3,0.7,0.4,3,0.6,0,0,0,14.27142857,31.73333333,0.952,156.7
Peru,2004,-634.107723,-0.975715458,81.3015594,72.581,7269.98,16.5,30.4,24.2,11,6.5,6.1,4.9,0.3,0,0,14.22857143,23.7,0.711,299.7
Philippines,2004,888.700749,-1.178786635,87.8237,69.013,4662.66,13.2,45.2,21,5,4.4,10.2,0.9,0,0,0,14.27142857,26.46666667,0.794,276.1
Serbia,2004,3037.139949,-0.762413561,89.5837326,72.6829268,10209.18,3.2,6.3,10.2,44.4,11.6,10.4,13.8,0.1,0,0,14.27142857,6.566666667,0.197,441.8
South Africa,2004,-2108.604258,-0.162092119,89.3221207,53.444,11599.1,19.4,32.4,16.6,6,1.9,13.4,10.3,0,0,0,14.28571429,22.8,0.684,320
Spain,2004,2791.993023,0.193026617,117.688202,79.8707317,30720.22,7.1,17.7,11,14.2,4.6,11.7,32.8,0.9,0,0,14.15714286,11.93333333,0.358,462.3
Sweden,2004,4148.843109,1.299904823,104.952316,80.497561,37730.16,0.5,3.3,5.6,10.6,21.3,13.1,45.5,0.2,0,0,14.27142857,3.133333333,0.094,571.5
Uganda,2004,94.759977,-1.417224765,17.0571003,50.554,1672.49,26.9,52.7,8.7,6.3,0.8,3.5,1,0,0,0,14.27142857,29.43333333,0.883,215.6
North Macedonia,2004,2870.995815,-1.155975223,80.0466614,73.597561,8690.24,10.2,11.3,11.3,42,5.1,13,7,0,0,0,14.27142857,10.93333333,0.328,387.2
Egypt,2004,1850.618157,-0.629358649,79.6103668,69.271,7614.84,22.4,19.8,2.5,24.9,5.2,0.1,25.1,0,0,0,14.28571429,14.9,0.447,371.4
Argentina,2005,-2650.710693,-0.041774943,96.8009872,74.451,17420.68,5.7,15.6,16.9,11.5,7.3,15,28.1,0,0,0,14.3,12.73333333,0.382,456.8
Brazil,2005,-982.215276,-0.263379753,106.214539,71.896,13325.47,21.8,25.9,17.2,3.7,3.4,21.9,5.7,0,0.3,0,14.22857143,21.63333333,0.649,331
Bulgaria,2005,2948.637927,0.14727059,87.3167419,72.5609756,14335.71,1.3,5.6,8.5,39.5,6.4,14,23.1,1.6,0,0,14.05714286,5.133333333,0.154,486.5
Canada,2005,3872.995254,0.82872504,100.234383,80.1926829,40376.31,6.8,17.5,9.5,15.4,7.6,7.9,34.4,0.3,0.6,0,14.15714286,11.26666667,0.338,465.9
Chile,2005,-2461.585143,0.842383623,94.1103363,77.63,16504.1,7.8,18.8,15.3,8.7,7.8,12.1,26.7,0.3,2.6,0,13.88571429,13.96666667,0.419,450.4
Colombia,2005,315.389892,-2.057942867,87.2284622,74.265,10188.96,10.8,34.5,18.8,7.6,5.9,10.7,11.2,0.5,0,0,14.21428571,21.36666667,0.641,342.7
Cyprus,2005,2423.722497,0.517519236,97.4788895,78.63,34830.23,5.4,13.5,14.9,39.7,5.7,5.8,14.9,0,0.1,0,14.27142857,11.26666667,0.338,404.4
Ethiopia,2005,631.005,-1.690383315,18.8290405,56.223,871.55,37.3,39.9,9.7,4.1,0.3,6.1,2.6,0,0,0,14.28571429,28.96666667,0.869,218.9
Finland,2005,4272.76359,1.594946861,114.341919,78.8170732,40083.7,2,4.7,7.8,23.3,16.7,19.8,25.4,0,0,0,14.24285714,4.833333333,0.145,508.1
France,2005,3189.707022,0.399723917,106.99189,80.1634146,35095.27,1.6,5.6,3.8,16.3,5.2,7.2,59.9,0.2,0.1,0,14.22857143,3.666666667,0.11,580.4
